Company Name,Founded,Industry,Job Description,Job Function,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
Bloomberg,1981,Computer Hardware & Software,"What is Enterprise Data?

Bloomberg's Enterprise Data department develops data offerings that are considered best in class by the capital markets community. Across real time market data, reference data, historical pricing data, and unique analytics we offer:
The most comprehensive and highest quality content in the industry.
Distribution platforms that are flexible, reliable, fast, and easy to onboard.
Easy to use data that is ready for analysis.

These critical datasets serve as the primary source of information across the front, middle, and back office at the most respected capital markets firms across the globe.

What is the Role?

Capital markets firms are purposefully embracing data science and machine learning techniques into their workflows. Motivated by increasingly sophisticated competition or cost savings, data science and machine learning have become a critical aspect of our customers"" business strategies. Bloomberg wants to be the leader in analysis ready data that allows clients to focus on the business of creating advanced analytics solutions rather than data ingestion and normalization.

You will play a meaningful role in helping customers and Bloomberg, together, achieve success. As a hands on liaison between Bloomberg product development teams and the data science teams at our customers, the Solutions Architect will provide experienced technical design, data science thought leadership, and Bloomberg recommended standard methodologies as customers develop solutions on premises or in the public cloud.

The ideal candidate will be a customer focused data scientist with advanced technology skills that seeks opportunities to get their hands dirty while confidently working with clients to design and build solutions that will best demonstrate Bloomberg content and technology in conjunction with modern data science tools and workflows.

We'll Trust you to:





We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status or disability status.",Enterprise Architect,Data Science Solutions Architect,"New York, NY",4.1,Unknown / Non-Applicable,$93K - $150K (Glassdoor est.),Information Technology,10000+ Employees,Company - Private
Guild Education,2015,Enterprise Software & Network Solutions,"Guild is hiring for a Lead Data Scientist to develop, deploy, and measure algorithms and tools that enable Guild's product, technology, marketing, and business operations to efficiently and effectively support students at scale.You'll sit at the intersection of data, product, business operations, and internal strategy, and work across the company to serve as a thought partner and data expert to help drive data driven decisions, build algorithms and tools.

As a Lead Data Scientist, you will:
Lead complex data/analytics projects to help Student Operations, Marketing, and Product teams make the best data informed decisions by deeply understanding trends, advising on best practices for collecting data, and building statistical models.
Apply advanced analytical techniques (e.g., NLP, segmentation, or other predictive methods) using structured and unstructured data to identify trends and run descriptive, predictive, and prescriptive analyses aimed at making strategic recommendations.
In addition to working on the Decision and Data Science team, in this role you will collaborate with other Guild leaders including: Mae Podesta, Josh Hadden-Leggett, and Carrie Kaufman.



Guild is increasing economic mobility for working adults by partnering with the largest employers in the country to offer education as a benefit to their employees via our marketplace of nonprofit universities and education institutions. Guild's proprietary technology platform facilitates the administration of this innovative benefit and our team of coaches helps each employee navigate the path back to school, providing individualized support from day one through program completion.

We are one of the few female-led companies to hit a $1 billion valuation and the only Certified B Corporation with those qualifications. Our Series D financing round was led by Ken Chenault, General Catalyst Partners chairman and former CEO of AMEX, and joined by Emerson Collective, LeadEdge Capital, and Iconiq.",Data Scientist,Lead Data Scientist,"Denver, CO",3.7,Unknown / Non-Applicable,-1,Information Technology,501 to 1000 Employees,Company - Private
Fidelity Investments,1946,Investment Banking & Asset Management,"Job Description:
At Fidelity’s Artificial Intelligence Center of Excellence (COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. We work closely with business stakeholders, collect requirements and deliver high value AI/ML solutions that drive customer and business value. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry.
The AI COE is seeking a Principal Data Scientist with experience in Virtual Assistants or chatbots, Natural Language Processing/text analytics, machine learning, various deep learning related technologies, predictive and prescriptive analytics.
The Expertise You Have",Data Scientist,Principal Data Scientist,"Boston, MA",4.2,$10+ billion (USD),$71K - $122K (Glassdoor est.),Finance,10000+ Employees,Company - Private
Quantum Materials Corp,-1,-1,"Job Summary:
The Senior Scientist is responsible for the applied research and development of fluorescent lateral flow immunoassays using excited quantum dots. This position requires in depth knowledge of the design and development of multiplex enzyme linked immunoassays. The candidate should have a strong understanding of ELISA techniques, antibody binding kinetics, optimizing antibody matched pairs, stabilization and purification of antibodies, biomarker selection, and general assay optimization techniques. This position requires working with complex biological samples, typically human saliva.
Essential Duties and Responsibilities:
Lateral flow immunoassay development.
Develop methods for antibody stabilization.",Research Scientist,"Sr. Scientist, Immunoassay Development","San Marcos, TX",-1,-1,-1,-1,-1,-1
Fresenius Kabi,-1,Health Care Products Manufacturing,"Job Summary
The Lead Scientist supports a departmental group of personnel ranging from QC Technicians to Scientists. Direct supervision of typically 2-3 analysts is part of the learning aspect of this position. This is assigned by QC Manager, when appropriate, and under manager’s guidance. This position is also designed to be a QT (Qualified trainer) to perform training to the department and is designed to have back-up supervisory responsibilities when the regular supervisor is on vacation or absent. Reports to QC Chemistry Manager

Duties are of routine nature following established standard operating procedures. Problem recognition ability is needed. Non-critical functions, and to a lesser degree some critical functions, utilize independent action and decision making with follow-up reporting to management.",Research Scientist,LEAD SCIENTIST,"Wilson, NC",3.7,$5 to $10 billion (USD),$58K - $123K (Glassdoor est.),Manufacturing,10000+ Employees,Subsidiary or Business Segment
Nature Source Improved Plants,-1,-1,"Statistician
Full-time, Benefits available
Employer: Nature Source Improved Plants, LLC. (http://nsiplants.com/)
Location: Ithaca, NY
The NSIP Genetics Division (Ithaca, NY) is recruiting for a Ph.D-level Statistician or Data Scientist. This position will work closely with NSIP’s cross-functional team of statisticians, mathematicians, operations research engineers, computer scientists, geneticists, plant breeders, and software engineers to help implement computational and genomics-based plant breeding solutions. The successful candidate will be responsible for contributing to NSIP’s inferential and predictive breeding framework, and to the solution of cutting-edge problems relevant to breeding and propagation. This position will have the opportunity to work with a diverse group of scientists dedicated to developing and implementing plant breeding and production technologies across agricultural sectors.",Data Scientist,Statistician or Data Scientist,"Ithaca, NY",-1,-1,$65K - $105K (Glassdoor est.),-1,-1,-1
Catalent Pharma Solutions,2007,Biotech & Pharmaceuticals,"Position Overview:
Catalent hires people with a passion to make a difference to the health of millions of people globally. Your expertise, coupled with Catalent’s advanced technologies and collaboration with thousands of innovative pharmaceutical, biotech and healthcare companies, will help bring life-enhancing products to the people you know and love. Your talents , ideas and passion are essential to our mission; to develop, manufacture and supply products that help people live better, healthier lives. Interested in learning more about life at Catalent? Start here
Catalent Pharma Solutions is seeking to hiring an Associate Scientist – Molecular Biology / Protein Expression.
The Catalent Biologics-West group (formerly Redwood Bioscience) has developed a protein-chemical engineering technology to produce next-generation antibody-drug conjugates (“ADCs”). The Company’s proprietary aldehyde-based SMARTag® site-specific protein modification technology, novel conjugation chemistry and proprietary cytotoxin-linkers enable the generation of homogenous bioconjugates engineered to enhance potency, safety, and stability.",Biological Scientist,Associate Scientist - Molecular Biology/Protein Expression,"Emeryville, CA",3.5,$2 to $5 billion (USD),-1,Biotech & Pharmaceuticals,10000+ Employees,Company - Public
NewDay USA,1999,Lending,"DEPARTMENT: Analytics
POSITION SUMMARY
NewDay USA is a leading nationwide lender focusing on providing financial solutions to American families. Our analytics team is currently seeking a data analyst to join our team on a full-time basis.
POSITION DUTIES AND RESPONSIBILITIES
Analyzing business data
Summarizing different analysis results and presenting findings
Conducting business studies on demand",Data Analyst,Data Analyst,"Fulton, MD",3.6,Unknown / Non-Applicable,$42K - $75K (Glassdoor est.),Finance,501 to 1000 Employees,Company - Private
Duke Careers,1838,Colleges & Universities,"General Description
Perform a variety of routine and complex technical tasks in the performance of laboratory tests to obtain data for use in the diagnosis and treatment of disease. Job duties are dependent on the laboratory and may be composed of a combination of the following duties and responsibilities related to the specialization. Tasks are performed according to written procedures and policies with careful monitoring of quality control and quality assurance practices.A position is available for a technologist in an expanding transplantation immunology program located on Duke University’s gothic campus approximately 2 ½ hours from the Blue Ridge Mountains and the North Carolina Crystal Coast, and adjacent to the famous Research Triangle Park. The Clinical Transplantation Immunology Laboratory is a full service laboratory supporting kidney, lung, heart, liver, pancreas, VCA, intestine, and stem cell transplant programs.

Graduates of 4 year programs in medical technology or biological sciences are encouraged to apply. CHS or CHT certification is preferred. The positions are full-time with an outstanding benefits package. Pay is commensurate with experience and education. All technologists in the laboratory share on-call responsibilities and have the opportunity to rotate through molecular HLA typing (rSSOP-Luminex, RT-PCR, and NGS), flow cytometric cross matching, and antibody analyses (Luminex and flow cytometry) sections. In addition to clinical testing services, the lab supports and participates in clinical research. Minimum Qualifications

Education Bachelors of Science/Bachelor of Arts in Chemical, Physical, Biological or Clinical Laboratory Science; or Medical Technology. Generalist certification required for General labs. Generalist/Specialty certification required for specialty labs.
Experience Two years experience as a certified MLS.

Degrees, Licensures, Certifications Generalist/Specialty Certification by a nationally recognized board/agency (required). Certification will vary depending on laboratory. Advanced degree (MS or higher) accepted in lieu of certification.

Duke is an Affirmative Action/Equal Opportunity Employer committed to providing employment opportunity without regard to an individual's age, color, disability, gender, gender expression, gender identity, genetic information, national origin, race, religion, sex, sexual orientation, or veteran status.

Duke aspires to create a community built on collaboration, innovation, creativity, and belonging. Our collective success depends on the robust exchange of ideas—an exchange that is best when the rich diversity of our perspectives, backgrounds, and experiences flourishes. To achieve this exchange, it is essential that all members of the community feel secure and welcome, that the contributions of all individuals are respected, and that all voices are heard. All members of our community have a responsibility to uphold these values.

Certain jobs at Duke University and Duke University Health System may include essentialjob functions that require specific physical and/or mental abilities. Additional information and provision for requests for reasonable accommodation will be provided by each hiring department.",Medical Laboratory Scientist,"MEDICAL LAB SCIENTIST, ADVANCED","Durham, NC",4.4,$2 to $5 billion (USD),$17 - $24 Per Hour(Glassdoor est.),Education,10000+ Employees,College / University
Tradeweb Markets LLC,1997,Financial Transaction Processing,"Tradeweb is looking to add a Data Scientist to its Data & Analytics team. Our Data Science team is responsible for managing the development and optimization of advanced analytics on a global scale across the company.
In this role, you will enjoy working with one of the richest financial data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The ideal candidate will have experience doing advanced data analysis, will have worked with large data stores, and will have experience building machine learning models. Candidates should be curious, focused on results, a self-starter, and have demonstrated success in using analytics to drive value in an organization.
Design, build, test and deliver new data science services and advanced analytics to Tradeweb globally",Data Scientist,Data Scientist,"Jersey City, NJ",4.6,Unknown / Non-Applicable,$98K - $165K (Glassdoor est.),Finance,501 to 1000 Employees,Company - Public
NexImmune,-1,-1,"NexImmune is a clinical-stage biotechnology company developing a novel approach to immunotherapy designed to employ the body’s own T cells to generate a specific, potent, and durable immune response that mimics natural biology. We are seeking highly skilled and motivated individuals to join an entrepreneurial team of experienced professionals dedicated to science, patients and addressing diseases with significant unmet need. We are a company with an uncompromising commitment to shared values, a strong work ethic, and respect for individuals. We set clear expectations, empower people to succeed, and reward results. Our executive team, Board of Directors, and investors include several successful industry veterans committed to building an exceptional company capable of transforming the field of immunotherapy.
The backbone of NexImmune’s approach is its proprietary Artificial Immune Modulation (AIMTM) nanoparticle technology platform. The AIM technology enables NexImmune to construct nanoparticles that function as synthetic dendritic cells capable of directing a specific T cell-mediated immune response. By mimicking natural T cell biology, NexImmune’s T cell product candidates are designed to combine the attributes of cellular precision, potency, and persistence with reduced potential for undesired toxicities.",Research Scientist,"Sr Scientist, Molecular Engineering","Gaithersburg, MD",-1,-1,-1,-1,-1,-1
ChampionX,2020,Oil & Gas Services,"ChampionX has an immediate need for a Lead Sr. Data Scientist
located in The Woodlands, TX. This is your opportunity to join a growing company offering a competitive base salary and benefits.”
What’s in it For You:
The ability to make an impact and shape your career with a company that is passionate about growth.
The support of an organization that believes it is vital to include and engage diverse people, perspectives, and ideas to achieve our best.
Thrive in a company that values sustainability, drives a safety-focused culture and has been recognized as one of the most ethical companies in the world.",Data Scientist,Lead SR. Data Scientist,"The Woodlands, TX",3.4,$2 to $5 billion (USD),-1,"Oil, Gas, Energy & Utilities",5001 to 10000 Employees,Company - Public
Northrop Grumman,1939,Aerospace & Defense,"Category: Research and Sciences
Location: Atlanta, Georgia
US Citizenship Required for this Position: Yes
Clearance Type: Other
Telecommute: Yes –May Consider Occasional/Part Time Teleworking for this position
Shift: 1st Shift
Travel Required: Yes, 10 % of the Time
Positions Available: 1",Data Scientist,Mgr Data Analytics 2/ Public Health Data Scientist,"Atlanta Central City Post Offi, GA",4.0,$10+ billion (USD),-1,Aerospace & Defense,10000+ Employees,Company - Public
Alliant Cooperative Data Solutions,2003,Advertising & Marketing,"Overview
Alliant is seeking a Senior Data Scientist to join its Data Science team to build predictive machine learning models and perform customer segmentation. The ideal candidate will be data-curious and willing to participate with a team driven to provide direct and digital marketing clients with innovative, profit-building solutions. The successful candidate will have a wide-range of experience building machine learning models and presenting the results to marketing teams and senior management. Additionally, candidates should be highly experienced with Python, SAS, large-scale databases, web analytics and data manipulation. This position will report to the Vice President of Data Science and become a key contributor to a skilled predictive modeling and analytics team.
Principal Responsibilities:",Data Scientist,Senior Data Scientist,"Brewster, NY",3.6,$5 to $10 million (USD),-1,Business Services,1 to 50 Employees,Company - Private
GoodRx,2011,Biotech & Pharmaceuticals,"At GoodRx, we believe that all Americans should have access to convenient and affordable healthcare. As a nation, we spend about $3.5 trillion annually on our healthcare, but too many Americans struggle to get the care they need, and prices just keep rising. Our marketplaces for prescription medicines and telehealth have helped Americans save $25 billion since 2011. GoodRx is a public company; we're based in Santa Monica with additional offices around the country. We're a low-key and tight-knit group that likes to find new ways to fix big problems. If you share our belief that you can do well by doing good, let's talk.

We’re committed to growing and empowering a more inclusive community within our company and industry. That’s why we hire and cultivate diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.

With that said, research shows that women and other minority groups apply only if they meet 100% of the criteria. GoodRx is committed to leveling the playing field, and we encourage women, people of color, and those in the LGBTQ+ communities to apply for positions even if they don’t necessarily check every box outlined in the job description. Please still get in touch – we’d love to connect and see if you could be good for the role!",Data Scientist,Senior Data Scientist,"Santa Monica, CA",4.7,Unknown / Non-Applicable,$117K - $186K (Glassdoor est.),Biotech & Pharmaceuticals,201 to 500 Employees,Company - Public
"IHRC, Inc.",-1,-1,"JOB TITLE: Data Manager III
POSITION NUMBER: 2103-05406-DMIII-01
POSITION LOCATION: Atlanta, GA, USA
ANTICIPATED START DATE: As soon as possible
TRAVEL: As required to fulfill the responsibilities of the position
IHRC, Inc. provides scientific, information management, management consulting, bioinformatics, and administrative program support to the Centers for Disease Control and Prevention (CDC) and other Federal and private sector clients. The successful candidate will be a full-time employee of IHRC, Inc. and will be assigned to the Microbial Pathogenesis and Immune Response Laboratory (MPIR), Meningitis and Vaccine Preventable Disease Branch (MVPDB) within the Office of Infectious Diseases (OID), in a partnership between the National Center for Emerging and Zoonotic Infectious Diseases (NCEZID) and the National Center for Immunization and Respiratory Diseases (NCIRD) at the CDC, 1600 Clifton Road, Atlanta, GA to support MVPDB.",Data Manager,Data Manager III,"Atlanta, GA",4.6,Less than $1 million (USD),$43K - $88K (Glassdoor est.),-1,201 to 500 Employees,Contract
Catalent Pharma Solutions,2007,Biotech & Pharmaceuticals,"Position Overview:
Catalent hires people with a passion to make a difference to the health of millions of people globally. Your expertise, coupled with Catalent’s advanced technologies and collaboration with thousands of innovative pharmaceutical, biotech and healthcare companies, will help bring life-enhancing products to the people you know and love. Your talents , ideas and passion are essential to our mission; to develop, manufacture and supply products that help people live better, healthier lives. Interested in learning more about life at Catalent? Start here
Associate Scientist II, QC
The Quality Control (QC) team is responsible for testing products, raw materials and the manufacturing environment to ensure the Safety, Quality, Identity, Purity and Potency produced by the Catalent Madison Biologics facility.",Research Scientist,"Associate Scientist II, Quality Control- Weekend Days","Madison, WI",3.5,$2 to $5 billion (USD),$29K - $64K (Glassdoor est.),Biotech & Pharmaceuticals,10000+ Employees,Company - Public
